id,barcode,name,price,category,category_id,image_url
35721,7798371600631,pita chips almadre x 115 gr jalapeno,"2.497,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/35721.jpg?v=618
35738,7798371600617,pita chips almadre x 115 gr original,"2.497,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/35738.jpg?v=618
27547,7790070431363,pochoclo gallo pop snacks x 50 gr. caramelizados,"2.069,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/27547.jpg?v=618
26405,7790070431370,pochoclo gallo pop snacks x 60 gr. salado,"2.489,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/26405.jpg?v=618
36962,7790681000101,polenta la egipciana x 500 gr.,"1.326,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/36962.jpg?v=618
30096,7790580126315,polenta prestopronta x 250 gr. espinaca a la crema,"1.229,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/30096.jpg?v=618
10718,7790580131746,polvo p bizcochuelo godet x 480 gr. vainilla,"3.363,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/10718.jpg?v=618
34157,7790580126087,polvo p/bizcochuelo arcor sin tacc  x 500 gr. chocolate,"4.927,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/34157.jpg?v=618
27750,7790070432964,polvo para bizcochuelo exquisita x 540 gr. vainila,"3.417,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/27750.jpg?v=618
40967,7794980938523,polvo para hornear yuspe x 50 g,"769,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/40967.jpg?v=618
27748,7790070432995,polvo para preparar bizcochuelo exquisita x 540 gm limon,"3.417,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/27748.jpg?v=618
19172,7622201705480,polvo para preparar crema chantilly royal x 50 gr.,"1.889,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/19172.jpg?v=618
23977,7790580122300,polvo pbizcochuelo aguila torta humeda x 450 gr.,"4.807,00",Almacen,03000000,https://www.lagallega.com.ar/Fotos/Articulos/23977.jpg?v=618
